periodo,region,importaciones_musd
2018-09-01,América. América del Norte. Total,1419.47417485814
2018-10-01,América. América del Norte. Total,1687.42989111929
2018-11-01,América. América del Norte. Total,1517.14665396541
2018-12-01,América. América del Norte. Total,1442.90437653739
2019-01-01,América. América del Norte. Total,1162.85410785226
2019-02-01,América. América del Norte. Total,1176.86705240063
2019-03-01,América. América del Norte. Total,1461.19358018587
2019-04-01,América. América del Norte. Total,1339.63865992324
2019-05-01,América. América del Norte. Total,1540.22814538635
2019-06-01,América. América del Norte. Total,1275.03523943747
2019-07-01,América. América del Norte. Total,1408.13770381297
2019-08-01,América. América del Norte. Total,1463.96943953356
2019-09-01,América. América del Norte. Total,1327.70529148063
2019-10-01,América. América del Norte. Total,1426.23748795236
2019-11-01,América. América del Norte. Total,1427.16702313734
2019-12-01,América. América del Norte. Total,1410.66217583195
2020-01-01,América. América del Norte. Total,1335.56266227484
2020-02-01,América. América del Norte. Total,1059.77187437485
2020-03-01,América. América del Norte. Total,1318.05475224024
2020-04-01,América. América del Norte. Total,981.736603482915
2020-05-01,América. América del Norte. Total,850.024352835123
2020-06-01,América. América del Norte. Total,920.428468644031
2020-07-01,América. América del Norte. Total,1131.66446680823
2020-08-01,América. América del Norte. Total,981.34800429133
2020-09-01,América. América del Norte. Total,994.855857947077
2020-10-01,América. América del Norte. Total,1121.96609952359
2020-11-01,América. América del Norte. Total,1011.03235331648
2020-12-01,América. América del Norte. Total,1228.8994347036
2021-01-01,América. América del Norte. Total,1212.65009153472
2021-02-01,América. América del Norte. Total,1408.66759250079
2021-03-01,América. América del Norte. Total,1705.29777858989
2021-04-01,América. América del Norte. Total,1587.75319657881
2021-05-01,América. América del Norte. Total,1506.43966403299
2021-06-01,América. América del Norte. Total,1557.34356550859
2021-07-01,América. América del Norte. Total,1874.44563427551
2021-08-01,América. América del Norte. Total,1871.1579964434
2021-09-01,América. América del Norte. Total,1703.3527434995
2021-10-01,América. América del Norte. Total,1826.4465974427
2021-11-01,América. América del Norte. Total,1768.37443559025
2021-12-01,América. América del Norte. Total,1879.8679375091
2022-01-01,América. América del Norte. Total,1571.1463442
2022-02-01,América. América del Norte. Total,1669.465362
2022-03-01,América. América del Norte. Total,1926.2065892
2022-04-01,América. América del Norte. Total,2041.8665254
2022-05-01,América. América del Norte. Total,2616.4018256
2022-06-01,América. América del Norte. Total,2645.3869717
2022-07-01,América. América del Norte. Total,2185.2530733
2022-08-01,América. América del Norte. Total,2729.0652993
2022-09-01,América. América del Norte. Total,1989.7665731
2022-10-01,América. América del Norte. Total,2068.9573614
2022-11-01,América. América del Norte. Total,2160.7742339
2022-12-01,América. América del Norte. Total,1607.5344332
2023-01-01,América. América del Norte. Total,1296.9006621
2023-02-01,América. América del Norte. Total,1697.2614157
2023-03-01,América. América del Norte. Total,1735.7803374
2023-04-01,América. América del Norte. Total,1861.7328834
2023-05-01,América. América del Norte. Total,1703.1294382
2023-06-01,América. América del Norte. Total,1635.5942839
2023-07-01,América. América del Norte. Total,1680.8458108
2023-08-01,América. América del Norte. Total,1782.7549483
2023-09-01,América. América del Norte. Total,1675.1434579
2023-10-01,América. América del Norte. Total,1665.8789842
2023-11-01,América. América del Norte. Total,1434.1757599
2023-12-01,América. América del Norte. Total,1341.6340675
2024-01-01,América. América del Norte. Total,1514.4132328
2024-02-01,América. América del Norte. Total,1490.787317
2024-03-01,América. América del Norte. Total,1474.1480189
2024-04-01,América. América del Norte. Total,1921.9240659
2024-05-01,América. América del Norte. Total,1519.3499644
2024-06-01,América. América del Norte. Total,1330.8634385
2024-07-01,América. América del Norte. Total,1905.1428761
2024-08-01,América. América del Norte. Total,1596.46151
2024-09-01,América. América del Norte. Total,1307.2532972
2024-10-01,América. América del Norte. Total,1591.4651445
2024-11-01,América. América del Norte. Total,1370.9319359
2024-12-01,América. América del Norte. Total,1555.6789909
2025-01-01,América. América del Norte. Total,1822.8637079
2025-02-01,América. América del Norte. Total,1258.0236149
2025-03-01,América. América del Norte. Total,1633.1465014
2025-04-01,América. América del Norte. Total,1899.5174809
2025-05-01,América. América del Norte. Total,1549.2060108
2025-06-01,América. América del Norte. Total,1554.7645911
2025-07-01,América. América del Norte. Total,1921.8357776
2025-08-01,América. América del Norte. Total,1363.3816478
2025-09-01,América. América del Norte. Total,1486.480212
2025-10-01,América. América del Norte. Total,1546.4124615
2025-11-01,América. América del Norte. Total,1404.3994559
2025-12-01,América. América del Norte. Total,1504.018565
2026-01-01,América. América del Norte. Total,1417.5194895
2026-02-01,América. América del Norte. Total,1313.8477561
2026-03-01,América. América del Norte. Total,1738.0733928
2026-04-01,América. América del Norte. Total,2011.5752563
2026-05-01,América. América del Norte. Total,1716.1545189
2026-06-01,América. América del Norte. Total,1785.8647568
2003-01-01,América. América del Sur. Total,649.230260595658
2003-02-01,América. América del Sur. Total,536.571846283081
2003-03-01,América. América del Sur. Total,482.700507001839
2003-04-01,América. América del Sur. Total,559.957120003899
2003-05-01,América. América del Sur. Total,538.841096122699
2003-06-01,América. América del Sur. Total,514.293786477285
2003-07-01,América. América del Sur. Total,605.40694296945
2003-08-01,América. América del Sur. Total,569.34786732528
2003-09-01,América. América del Sur. Total,552.406565519024
2003-10-01,América. América del Sur. Total,672.053491519501
2003-11-01,América. América del Sur. Total,596.704900406597
2003-12-01,América. América del Sur. Total,598.218932126372
2004-01-01,América. América del Sur. Total,705.080134654152
2004-02-01,América. América del Sur. Total,524.744022013188
2004-03-01,América. América del Sur. Total,711.100759846043
2004-04-01,América. América del Sur. Total,675.457267868167
2004-05-01,América. América del Sur. Total,699.075858366834
2004-06-01,América. América del Sur. Total,609.97334030104
2004-07-01,América. América del Sur. Total,752.820071017154
2004-08-01,América. América del Sur. Total,730.236523528677
2004-09-01,América. América del Sur. Total,791.666075314368
2004-10-01,América. América del Sur. Total,867.133362979361
2004-11-01,América. América del Sur. Total,726.859900335544
2004-12-01,América. América del Sur. Total,800.477202682713
2005-01-01,América. América del Sur. Total,796.932574598592
2005-02-01,América. América del Sur. Total,752.682206628144
2005-03-01,América. América del Sur. Total,856.791174262385
2005-04-01,América. América del Sur. Total,797.721166595615
2005-05-01,América. América del Sur. Total,885.605997931011
2005-06-01,América. América del Sur. Total,778.831887776272
2005-07-01,América. América del Sur. Total,997.56550901157
2005-08-01,América. América del Sur. Total,879.861900243087
2005-09-01,América. América del Sur. Total,1096.87914324577
2005-10-01,América. América del Sur. Total,1104.03434575666
2005-11-01,América. América del Sur. Total,1005.17175744508
2005-12-01,América. América del Sur. Total,876.244199536039
2006-01-01,América. América del Sur. Total,1049.16735403257
2006-02-01,América. América del Sur. Total,822.181638956215
2006-03-01,América. América del Sur. Total,941.464497537846
2006-04-01,América. América del Sur. Total,842.200482105329
2006-05-01,América. América del Sur. Total,1172.12734629735
2006-06-01,América. América del Sur. Total,911.006882414337
2006-07-01,América. América del Sur. Total,907.772246702426
2006-08-01,América. América del Sur. Total,1016.16764776779
2006-09-01,América. América del Sur. Total,1137.06618218184
2006-10-01,América. América del Sur. Total,1034.94917053185
2006-11-01,América. América del Sur. Total,1132.58767968554
2006-12-01,América. América del Sur. Total,957.043908983199
2007-01-01,América. América del Sur. Total,990.744847832063
2007-02-01,América. América del Sur. Total,913.70657068628
2007-03-01,América. América del Sur. Total,1059.00631047029
2007-04-01,América. América del Sur. Total,974.867909260175
2007-05-01,América. América del Sur. Total,1120.47121817126
2007-06-01,América. América del Sur. Total,904.590610028759
2007-07-01,América. América del Sur. Total,1030.29828557025
2007-08-01,América. América del Sur. Total,1094.50602359368
2007-09-01,América. América del Sur. Total,1019.20907439622
2007-10-01,América. América del Sur. Total,1232.0405922277
2007-11-01,América. América del Sur. Total,1237.57943170436
2007-12-01,América. América del Sur. Total,1338.3180741836
2008-01-01,América. América del Sur. Total,1227.30326951935
2008-02-01,América. América del Sur. Total,1397.93446225178
2008-03-01,América. América del Sur. Total,1253.18251328246
2008-04-01,América. América del Sur. Total,1478.28317669669
2008-05-01,América. América del Sur. Total,1443.50606549752
2008-06-01,América. América del Sur. Total,1305.1682029897
2008-07-01,América. América del Sur. Total,1565.86933146766
2008-08-01,América. América del Sur. Total,1764.47498091642
2008-09-01,América. América del Sur. Total,1685.19036497052
2008-10-01,América. América del Sur. Total,1629.49882067394
2008-11-01,América. América del Sur. Total,984.507826082899
2008-12-01,América. América del Sur. Total,1173.63446394281
2009-01-01,América. América del Sur. Total,870.083077290495
2009-02-01,América. América del Sur. Total,775.686727965872
2009-03-01,América. América del Sur. Total,917.976367900574
2009-04-01,América. América del Sur. Total,1011.67512339114
2009-05-01,América. América del Sur. Total,714.009014792983
2009-06-01,América. América del Sur. Total,809.980417440343
2009-07-01,América. América del Sur. Total,1117.75868100717
2009-08-01,América. América del Sur. Total,980.506555219746
2009-09-01,América. América del Sur. Total,855.907566378782
2009-10-01,América. América del Sur. Total,1050.89062516196
2009-11-01,América. América del Sur. Total,1093.83922923718
2009-12-01,América. América del Sur. Total,1139.25856017516
2010-01-01,América. América del Sur. Total,1009.43374157021
2010-02-01,América. América del Sur. Total,1053.19474129913
2010-03-01,América. América del Sur. Total,976.575785925812
2010-04-01,América. América del Sur. Total,990.068010589847
2010-05-01,América. América del Sur. Total,1258.61670599664
2010-06-01,América. América del Sur. Total,1135.18733962611
2010-07-01,América. América del Sur. Total,1145.84609517514
2010-08-01,América. América del Sur. Total,1133.49044288037
2010-09-01,América. América del Sur. Total,1273.6188930781
2010-10-01,América. América del Sur. Total,1279.19110735533
2010-11-01,América. América del Sur. Total,1416.15045996729
2010-12-01,América. América del Sur. Total,1448.09858463603
2011-01-01,América. América del Sur. Total,1334.3940041219
2011-02-01,América. América del Sur. Total,1274.87589364594
2011-03-01,América. América del Sur. Total,1626.13996845522
2011-04-01,América. América del Sur. Total,1258.36101386864
2011-05-01,América. América del Sur. Total,1610.26407826621
2011-06-01,América. América del Sur. Total,1315.69474205205
2011-07-01,América. América del Sur. Total,1504.9707422721
2011-08-01,América. América del Sur. Total,1739.84093364913
2011-09-01,América. América del Sur. Total,1635.01197921295
2011-10-01,América. América del Sur. Total,1280.57660908971
2011-11-01,América. América del Sur. Total,1638.35808338533
2011-12-01,América. América del Sur. Total,1463.67206797236
2012-01-01,América. América del Sur. Total,1437.31328416957
2012-02-01,América. América del Sur. Total,1328.85196470679
2012-03-01,América. América del Sur. Total,1635.76377391325
2012-04-01,América. América del Sur. Total,1391.45272142234
2012-05-01,América. América del Sur. Total,1628.32913305951
2012-06-01,América. América del Sur. Total,1293.09599417306
2012-07-01,América. América del Sur. Total,1394.21368983168
2012-08-01,América. América del Sur. Total,1430.40607235428
2012-09-01,América. América del Sur. Total,1404.91502380127
2012-10-01,América. América del Sur. Total,1937.29203892879
2012-11-01,América. América del Sur. Total,1568.47595769452
2012-12-01,América. América del Sur. Total,1376.64917915773
2013-01-01,América. América del Sur. Total,1564.2438708234
2013-02-01,América. América del Sur. Total,1442.3633028366
2013-03-01,América. América del Sur. Total,1073.65082773265
2013-04-01,América. América del Sur. Total,1364.57911982837
2013-05-01,América. América del Sur. Total,1372.84772008821
2013-06-01,América. América del Sur. Total,1151.43977104328
2013-07-01,América. América del Sur. Total,1436.80279667235
2013-08-01,América. América del Sur. Total,1475.44089632583
2013-09-01,América. América del Sur. Total,1189.05269099239
2013-10-01,América. América del Sur. Total,1512.25911729966
2013-11-01,América. América del Sur. Total,1228.75285464204
2013-12-01,América. América del Sur. Total,1297.68292438832
2014-01-01,América. América del Sur. Total,1164.62997243723
2014-02-01,América. América del Sur. Total,1170.66561710598
2014-03-01,América. América del Sur. Total,1163.4149357284
2014-04-01,América. América del Sur. Total,1547.2917404685
2014-05-01,América. América del Sur. Total,972.40510053805
2014-06-01,América. América del Sur. Total,1133.88838317932
2014-07-01,América. América del Sur. Total,1565.85232732526
2014-08-01,América. América del Sur. Total,1269.63080953335
2014-09-01,América. América del Sur. Total,1229.13393464212
2014-10-01,América. América del Sur. Total,1267.71065925174
2014-11-01,América. América del Sur. Total,1099.27908702614
2014-12-01,América. América del Sur. Total,1250.62537527539
2015-01-01,América. América del Sur. Total,918.73827177822
2015-02-01,América. América del Sur. Total,882.023148159123
2015-03-01,América. América del Sur. Total,1011.67308148035
2015-04-01,América. América del Sur. Total,963.564698998742
2015-05-01,América. América del Sur. Total,855.963285628822
2015-06-01,América. América del Sur. Total,1102.28714624362
2015-07-01,América. América del Sur. Total,1053.44463716098
2015-08-01,América. América del Sur. Total,894.256114399981
2015-09-01,América. América del Sur. Total,1005.32019322714
2015-10-01,América. América del Sur. Total,949.318650103828
2015-11-01,América. América del Sur. Total,978.74584430126
2015-12-01,América. América del Sur. Total,967.631874570669
2016-01-01,América. América del Sur. Total,737.727007202439
2016-02-01,América. América del Sur. Total,715.918968675311
2016-03-01,América. América del Sur. Total,916.533847629482
2016-04-01,América. América del Sur. Total,883.185392754286
2016-05-01,América. América del Sur. Total,937.974208608111
2016-06-01,América. América del Sur. Total,803.867938496348
2016-07-01,América. América del Sur. Total,871.972888783966
2016-08-01,América. América del Sur. Total,1118.13461460988
2016-09-01,América. América del Sur. Total,966.364212164017
2016-10-01,América. América del Sur. Total,965.175596629334
2016-11-01,América. América del Sur. Total,969.882009343689
2016-12-01,América. América del Sur. Total,1164.0815728186
2017-01-01,América. América del Sur. Total,1016.05425033508
2017-02-01,América. América del Sur. Total,1007.80187029377
2017-03-01,América. América del Sur. Total,1122.37100760431
2017-04-01,América. América del Sur. Total,1015.10907449675
2017-05-01,América. América del Sur. Total,1073.38532282073
2017-06-01,América. América del Sur. Total,1116.95499850983
2017-07-01,América. América del Sur. Total,980.863618126528
2017-08-01,América. América del Sur. Total,1179.11458953564
2017-09-01,América. América del Sur. Total,975.918237769983
2017-10-01,América. América del Sur. Total,1230.84980655452
2017-11-01,América. América del Sur. Total,1173.25065586708
2017-12-01,América. América del Sur. Total,1307.37350877651
2018-01-01,América. América del Sur. Total,1082.11223329312
2018-02-01,América. América del Sur. Total,1051.82967213899
2018-03-01,América. América del Sur. Total,1384.40916098484
2018-04-01,América. América del Sur. Total,1346.34445067924
2018-05-01,América. América del Sur. Total,1290.13852208858
2018-06-01,América. América del Sur. Total,1239.87891606387
2018-07-01,América. América del Sur. Total,1215.62265474203
2018-08-01,América. América del Sur. Total,1536.99659666436
2018-09-01,América. América del Sur. Total,1061.05541827236
2018-10-01,América. América del Sur. Total,1597.03989404425
2018-11-01,América. América del Sur. Total,1184.59159925764
2018-12-01,América. América del Sur. Total,1283.5782592839
2019-01-01,América. América del Sur. Total,1115.04266533099
2019-02-01,América. América del Sur. Total,1219.59993638526
2019-03-01,América. América del Sur. Total,1147.72133883566
2019-04-01,América. América del Sur. Total,1173.50957089236
2019-05-01,América. América del Sur. Total,1287.44904216459
2019-06-01,América. América del Sur. Total,1108.28358922178
2019-07-01,América. América del Sur. Total,1285.31500779834
2019-08-01,América. América del Sur. Total,1241.35450739295
2019-09-01,América. América del Sur. Total,1183.74693186976
2019-10-01,América. América del Sur. Total,1201.13444940985
2019-11-01,América. América del Sur. Total,1155.99264939882
2019-12-01,América. América del Sur. Total,1167.29290495206
2020-01-01,América. América del Sur. Total,1231.49474441242
2020-02-01,América. América del Sur. Total,1081.60585323352
2020-03-01,América. América del Sur. Total,929.812438069534
2020-04-01,América. América del Sur. Total,876.542995020319
2020-05-01,América. América del Sur. Total,732.427382737216
2020-06-01,América. América del Sur. Total,777.612798039424
2020-07-01,América. América del Sur. Total,931.058572596421
2020-08-01,América. América del Sur. Total,975.68315982884
2020-09-01,América. América del Sur. Total,1054.27244838568
2020-10-01,América. América del Sur. Total,1098.03099821976
2020-11-01,América. América del Sur. Total,1027.96336158089
2020-12-01,América. América del Sur. Total,1215.6001306521
2021-01-01,América. América del Sur. Total,1087.79909271473
2021-02-01,América. América del Sur. Total,1172.10895595101
2021-03-01,América. América del Sur. Total,1319.02035040883
2021-04-01,América. América del Sur. Total,1209.77350071528
2021-05-01,América. América del Sur. Total,1394.851302649
2021-06-01,América. América del Sur. Total,1442.08718150796
2021-07-01,América. América del Sur. Total,1549.8499217882
2021-08-01,América. América del Sur. Total,1850.29140801511
2021-09-01,América. América del Sur. Total,1894.61073893607
2021-10-01,América. América del Sur. Total,1927.53846251991
2021-11-01,América. América del Sur. Total,1729.57582513738
2021-12-01,América. América del Sur. Total,1975.53452935668
2022-01-01,América. América del Sur. Total,1674.5762782
2022-02-01,América. América del Sur. Total,1833.037906
2022-03-01,América. América del Sur. Total,1981.1558537
2022-04-01,América. América del Sur. Total,1844.2789213
2022-05-01,América. América del Sur. Total,1892.8744684
2022-06-01,América. América del Sur. Total,2200.5611091
2022-07-01,América. América del Sur. Total,1888.3482326
2022-08-01,América. América del Sur. Total,2095.5268119
2022-09-01,América. América del Sur. Total,2258.8969146
2022-10-01,América. América del Sur. Total,1833.9064102
2022-11-01,América. América del Sur. Total,2028.330107
2022-12-01,América. América del Sur. Total,1861.6834254
2023-01-01,América. América del Sur. Total,1675.8871209
2023-02-01,América. América del Sur. Total,1483.2631629
2023-03-01,América. América del Sur. Total,2123.4660664
2023-04-01,América. América del Sur. Total,1501.030884
2023-05-01,América. América del Sur. Total,1901.5546573
2023-06-01,América. América del Sur. Total,1525.7612603
2023-07-01,América. América del Sur. Total,1679.3016186
2023-08-01,América. América del Sur. Total,1849.0004986
2023-09-01,América. América del Sur. Total,1423.3508855
2023-10-01,América. América del Sur. Total,1830.3598262
2023-11-01,América. América del Sur. Total,1837.1341092
2023-12-01,América. América del Sur. Total,1502.0480034
2024-01-01,América. América del Sur. Total,1645.305452
2024-02-01,América. América del Sur. Total,1567.0295008
2024-03-01,América. América del Sur. Total,1580.4778815
2024-04-01,América. América del Sur. Total,1533.1802069
2024-05-01,América. América del Sur. Total,1912.9886711
2024-06-01,América. América del Sur. Total,1424.3644241
2024-07-01,América. América del Sur. Total,1917.1934895
2024-08-01,América. América del Sur. Total,1841.4537677
2024-09-01,América. América del Sur. Total,1488.6398292
2024-10-01,América. América del Sur. Total,1885.3840401
2024-11-01,América. América del Sur. Total,1571.0406471
2024-12-01,América. América del Sur. Total,1801.647412
2025-01-01,América. América del Sur. Total,1509.4881616
