periodo,destino,exportaciones_musd,continente,subregion,pais
2013-07-01,América. América del Norte. Estados Unidos,660.2184862,América,América del Norte,Estados Unidos
2013-08-01,América. América del Norte. Estados Unidos,644.29584419,América,América del Norte,Estados Unidos
2013-09-01,América. América del Norte. Estados Unidos,474.67233957,América,América del Norte,Estados Unidos
2013-10-01,América. América del Norte. Estados Unidos,633.0958153,América,América del Norte,Estados Unidos
2013-11-01,América. América del Norte. Estados Unidos,612.69675155,América,América del Norte,Estados Unidos
2013-12-01,América. América del Norte. Estados Unidos,683.48702226,América,América del Norte,Estados Unidos
2014-01-01,América. América del Norte. Estados Unidos,860.159207457272,América,América del Norte,Estados Unidos
2014-02-01,América. América del Norte. Estados Unidos,760.380094931837,América,América del Norte,Estados Unidos
2014-03-01,América. América del Norte. Estados Unidos,1001.15591462786,América,América del Norte,Estados Unidos
2014-04-01,América. América del Norte. Estados Unidos,945.34358341548,América,América del Norte,Estados Unidos
2014-05-01,América. América del Norte. Estados Unidos,865.607215231437,América,América del Norte,Estados Unidos
2014-06-01,América. América del Norte. Estados Unidos,725.965417842319,América,América del Norte,Estados Unidos
2014-07-01,América. América del Norte. Estados Unidos,684.865267849794,América,América del Norte,Estados Unidos
2014-08-01,América. América del Norte. Estados Unidos,670.006101034819,América,América del Norte,Estados Unidos
2014-09-01,América. América del Norte. Estados Unidos,621.503907410487,América,América del Norte,Estados Unidos
2014-10-01,América. América del Norte. Estados Unidos,653.228352925459,América,América del Norte,Estados Unidos
2014-11-01,América. América del Norte. Estados Unidos,545.23427168063,América,América del Norte,Estados Unidos
2014-12-01,América. América del Norte. Estados Unidos,873.309550013719,América,América del Norte,Estados Unidos
2015-01-01,América. América del Norte. Estados Unidos,922.66419284,América,América del Norte,Estados Unidos
2015-02-01,América. América del Norte. Estados Unidos,787.69180076,América,América del Norte,Estados Unidos
2015-03-01,América. América del Norte. Estados Unidos,968.05430312,América,América del Norte,Estados Unidos
2015-04-01,América. América del Norte. Estados Unidos,802.83956697,América,América del Norte,Estados Unidos
2015-05-01,América. América del Norte. Estados Unidos,556.58766762,América,América del Norte,Estados Unidos
2015-06-01,América. América del Norte. Estados Unidos,685.68697123,América,América del Norte,Estados Unidos
2015-07-01,América. América del Norte. Estados Unidos,671.45199136,América,América del Norte,Estados Unidos
2015-08-01,América. América del Norte. Estados Unidos,564.4157421,América,América del Norte,Estados Unidos
2015-09-01,América. América del Norte. Estados Unidos,559.82701676,América,América del Norte,Estados Unidos
2015-10-01,América. América del Norte. Estados Unidos,526.52827444,América,América del Norte,Estados Unidos
2015-11-01,América. América del Norte. Estados Unidos,498.96961356,América,América del Norte,Estados Unidos
2015-12-01,América. América del Norte. Estados Unidos,570.0047427,América,América del Norte,Estados Unidos
2016-01-01,América. América del Norte. Estados Unidos,783.48688637,América,América del Norte,Estados Unidos
2016-02-01,América. América del Norte. Estados Unidos,774.56271171,América,América del Norte,Estados Unidos
2016-03-01,América. América del Norte. Estados Unidos,771.27770162,América,América del Norte,Estados Unidos
2016-04-01,América. América del Norte. Estados Unidos,749.91712612,América,América del Norte,Estados Unidos
